"Product Code","Product Name",Variant,Expected,Counted
23006926,"Test Edit",,-5.0000,
9556781103801,"Test REturn",,-10.0000,
FFR01,Grapefruit,,7.0000,
FFR02,Kiwi,,8.0000,
FFR03,Lemon,,289.0000,
FFR04,Lime,,289.0000,
FFR05,Strawberry,,20.0000,
FFR06,Watermelon,,45.0000,
FFR07,"Yellow Watermelon",,24.5000,
FFR10,"A Grapefruit",,10.0000,
FFR11,"Grapefruit B",,10.0000,
FFR15,"Strawberry 15",,0.0000,
IG01,"Indian GST",,1.0000,
IT01,"Canon 1100d",,6.0000,
IT02,"Computer Set 1",,4.0000,
IT03,"Computer Set 2",,5.0000,
IT04,"Hard Disk",500GB,13.0000,
IT04,"Hard Disk",1TB,15.0000,
IT05,Keyboard,White,5.0000,
IT05,Keyboard,Black,5.0000,
IT06,Mouse,Black,7.0000,
IT06,Mouse,Red,9.0000,
IT06,Mouse,Blue,9.0000,
IT07,Laptop,,10.0000,
IT08,RAM,2GB,5.0000,
IT08,RAM,4GB,15.0000,
TEST1,"TEST P1",,5.0000,
TEST2,"TEST P2",,5.0000,
TEST3,"TEST P3",,20.0000,
TEST4,"TEST P4",,3.0000,
TEST5,"TEST P5",,3.0000,
TEST6,"TEST P6",,3.0000,
testedit,testedit,,1.0000,
TOY01,"Minion Bananas",,17.0000,
TOY02,"Minion Big",,15.0000,
TOY03,"Minion Crazy",,15.0000,
TOY04,"Minion Hello",,14.0000,
TOY05,"Minion Reading",,14.0000,
TOY06,"Minion Shy",,12.0000,
TOY07,"Minion Amazed",,20.0000,
TU01,"Test Unit",,49.7667,
